tag_id,video_id
13,13
15,179
1,91
7,196
5,80
14,20
9,74
9,160
14,149
3,117
1,126
9,123
12,162
7,41
11,43
1,184
12,191
2,29
2,121
3,16
1,76
15,146
11,181
12,83
13,119
9,3
7,106
9,200
3,54
6,65
15,200
15,25
11,127
10,142
9,93
7,119
5,88
8,91
3,179
7,83
9,189
1,129
6,160
8,2
12,27
11,105
2,197
7,20
14,122
12,144
2,53
2,185
9,13
7,34
8,180
8,71
1,118
5,131
5,91
14,52
10,82
3,22
12,133
5,194
7,136
7,44
3,46
1,51
11,17
5,21
8,134
12,61
3,38
6,24
9,104
3,193
3,33
14,166
14,65
15,132
10,77
12,60
11,177
11,109
12,111
5,12
1,113
1,80
7,57
3,97
10,9
13,18
14,96
11,113
10,191
11,90
4,39
15,129
11,34
12,16
15,192
8,128
13,52
1,160
14,47
8,99
14,64
2,170
12,152
14,4
13,74
9,144
7,90
13,142
4,112
11,100
4,41
3,108
1,58
10,196
12,94
11,62
14,122
14,81
6,119
3,185
4,106
13,107
5,70
2,73
7,160
12,134
8,4
8,63
3,158
1,189
11,15
8,188
8,155
11,171
7,22
6,76
4,44
14,161
7,117
8,87
3,199
5,187
4,160
9,39
7,178
14,36
2,190
14,124
6,181
10,150
5,28
8,171
11,31
14,185
11,89
1,145
15,167
10,143
8,132
10,32
10,41
15,118
5,183
12,96
1,53
13,197
4,12
14,100
13,85
12,105
14,12
13,75
2,141
5,127
6,169
10,149
11,150
14,163
6,115
5,15
6,128
6,179
10,26
7,170
7,93
9,122
4,126
5,167
9,162
11,16
1,129
11,101
4,35
5,31
10,47
5,19
1,109
8,193
15,54
14,11
11,82
10,49
11,4
7,139
14,58
12,124
3,91
5,137
4,140
2,85
15,79
6,111
9,127
10,151
2,55
7,111
4,114
2,120
13,59
6,40
12,139
3,192
2,137
2,45
5,148
7,188
3,113
6,195
3,112
12,61
8,111
6,75
1,35
7,88
11,118
9,157
7,61
13,101
1,52
1,140
1,10
3,104
13,135
2,76
8,67
7,76
10,94
4,194
14,59
7,122
7,26
4,62
5,100
9,54
10,31
2,12
5,30
12,82
10,152
4,128
12,188
6,112
8,103
5,41
7,129
9,158
8,52
2,12
3,169
11,147
3,97
13,103
12,81
11,73
11,188
7,121
8,29
15,18
1,69
13,184
14,162
6,150
1,45
1,166
9,187
1,88
14,135
12,51
11,134
2,180
12,52
9,195
10,66
